Purchase_ID,Purchase_Date,Supplier_ID,Subtotal,Discount,Other_Charges,Total_Amount,Paid,Due,Payment_Method,Cash_Account_ID,Purchased_By,Purchase_Status,Notes,Created_At
PUR000001,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),SUP002,5400,0,0,5400,5400,0,Cash,CASH004,Sourav,Received,,Sat Aug 15 2026 22:12:45 GMT+0600 (Bangladesh Standard Time)
PUR000002,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),SUP001,4000,0,0,4000,4000,0,Cash,CASH002,Jabed,Received,,Sat Aug 15 2026 22:14:02 GMT+0600 (Bangladesh Standard Time)
PUR000003,Mon Aug 17 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),SUP001,1000,0,0,1000,1000,0,Cash,CASH002,Jabed,Received,,Mon Aug 17 2026 21:10:23 GMT+0600 (Bangladesh Standard Time)
PUR000004,Mon Aug 17 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),SUP001,1000,0,0,1000,1000,0,Cash,CASH002,Jabed,Received,,Mon Aug 17 2026 21:11:45 GMT+0600 (Bangladesh Standard Time)
